Seller_ID,Seller_Name,Store_Branch,Region,Sales_Channel
SL10069,Brett Silva,"Jackson, Whitaker and Manning",North,e-commerce
SL10070,Jason Harris,Davis Inc,West,physical_store
SL10071,Paul Hopkins,"Dixon, Evans and Alvarez",West,physical_store
SL10072,Elizabeth Hernandez,"Ferguson, Bass and Wilson",South,e-commerce
SL10073,Tammy Murray,Moon PLC,West,marketplace
SL10074,Brandon Clark,Johnson PLC,East,e-commerce
SL10075,Sarah Williams,"Miller, Lewis and Cox",North,e-commerce
SL10076,Dale Holmes,"Howard, Fletcher and Jordan",South,e-commerce
SL10077,John Larsen,Steele-Harrington,West,e-commerce
SL10078,Nathan Morris,Mccoy-Rivers,South,e-commerce
SL10079,Mark Wise,Solomon and Sons,North,physical_store
SL10080,Alan Vazquez,"Shepherd, Schneider and Friedman",North,physical_store
SL10081,Amanda Gregory,Carter-Carlson,East,e-commerce
SL10082,Brittany Bowman,"Wang, Young and Ramsey",South,e-commerce
SL10083,Nicole Long,King LLC,South,physical_store
SL10084,Frank Goodwin,Reyes-Watson,North,physical_store
SL10085,Lisa Massey,"Garcia, Elliott and Le",West,physical_store
SL10086,Nicholas Riley,Aguilar-Williams,East,physical_store
SL10087,Christina Young,Underwood-Wyatt,West,e-commerce
SL10088,Michael Cruz,Perez-Garza,North,physical_store
SL10089,James Lowery,Olsen Inc,West,e-commerce
SL10090,Jesse Smith,Harris-Johnson,North,e-commerce
SL10091,Tammy Williams,Davis PLC,North,e-commerce
SL10092,Melissa Durham,Flores-Smith,South,marketplace
SL10093,Phillip Gray,Bell Ltd,East,marketplace
SL10094,Mr. Brandon Turner,Cox-Perez,East,marketplace
SL10095,Cody Becker,"Gregory, Weber and Owens",North,e-commerce
SL10096,Tyler Hernandez,Smith PLC,West,e-commerce
SL10097,Danielle Fuentes,Johnson PLC,North,physical_store
SL10098,Patricia Wood,Butler-Bonilla,South,physical_store
SL10099,Kelli Wood,Schneider LLC,South,marketplace
SL10100,Michael Munoz,Francis-Bruce,West,physical_store
SL10101,Earl Wilcox,Shaw LLC,South,e-commerce
SL10102,Deborah Price,Avila PLC,West,marketplace
SL10103,Nancy Diaz,"Parker, Jackson and Castillo",East,e-commerce
SL10104,Kathryn Anderson,"Dunn, Sosa and Jackson",North,physical_store
SL10105,Elizabeth Clayton,Orr Ltd,North,e-commerce
SL10106,Kelsey King,Leach-Galloway,South,marketplace
SL10107,Scott Wise,"Miranda, Middleton and Casey",North,physical_store
SL10108,Joseph Vaughan,Haas Inc,South,marketplace
SL10109,Timothy Montes,Rangel-Rivera,East,marketplace
SL10110,Leslie Chaney,Patel-Jones,West,e-commerce
SL10111,Brett Odom,Foley-Martinez,West,e-commerce
SL10112,Amanda Melendez,Hansen-Johnson,East,physical_store
SL10113,Ana Munoz,Cole and Sons,North,marketplace
SL10114,Thomas Wilson,Spence Ltd,West,physical_store
SL10115,Shane Williams,Castro Group,West,physical_store
SL10116,Melanie Rodgers,Fuller-Harris,West,e-commerce
SL10117,Barbara Hernandez,Salas-Hayes,South,e-commerce
SL10118,Kaitlyn Parks,"Morales, Banks and Hall",West,physical_store
SL10119,Dawn Wilkinson,Wright LLC,South,physical_store
SL10120,Molly Guzman,Brown-Harris,South,marketplace
SL10121,Melinda Smith,Sanchez PLC,North,marketplace
SL10122,Reginald White,"Jackson, Costa and Steele",South,marketplace
SL10123,Natalie Pratt,"Henderson, Smith and Baxter",North,marketplace
SL10124,Kyle Reilly,"Young, Gibbs and Morrison",East,physical_store
SL10125,Timothy Randall,"Silva, Castillo and Brooks",East,e-commerce
SL10126,Megan Hoffman,"Lloyd, Stewart and Watts",West,marketplace
SL10127,Scott Lee,Rose PLC,West,physical_store
SL10128,Terry Griffith,Green Inc,East,marketplace
SL10129,Katie Robinson,"Goodwin, Melton and Snow",East,marketplace
SL10130,Christine Sanders,Johnson-Williams,North,physical_store
SL10131,Anna Padilla,Chase-Meyers,East,marketplace
SL10132,Edward Brennan,"Key, Wu and Garcia",East,e-commerce
SL10133,Maria Green,"Roberts, Schaefer and Greene",South,physical_store
SL10134,Sandra Logan,"Ramirez, Williams and Becker",South,marketplace
SL10135,Kimberly Woodard,"Ray, Suarez and Phillips",East,e-commerce
SL10136,Bethany Gonzalez,"Moody, Curry and Welch",North,physical_store
SL10137,Kristin Ford,"Villarreal, Gonzales and Garcia",South,marketplace
SL10138,Stacy Hubbard,Allison and Sons,East,physical_store
SL10139,Russell Murphy,Taylor Group,South,marketplace
SL10140,Gina Campos,"Morris, Atkins and Leach",East,e-commerce
SL10141,Alicia Yates,Noble LLC,South,physical_store
SL10142,Chelsea Sanchez,"Matthews, Smith and Williams",West,marketplace
SL10143,Christina Alexander,"Lewis, Walker and Wright",North,physical_store
SL10144,Russell Bowers,"Fernandez, Deleon and Burton",West,e-commerce
SL10145,Tyler Hahn,Hall-Martin,South,marketplace
SL10146,Rebecca Coleman,"Navarro, Santiago and Ferguson",East,physical_store
SL10147,Eduardo Shaw,Cardenas-Bush,South,marketplace
SL10148,David Obrien,"Gomez, Johnson and Mccoy",North,e-commerce
SL10149,Daniel Moss,Frost Ltd,West,marketplace
SL10150,Mary Farmer,Spencer LLC,West,e-commerce
SL10151,Kathleen Keller,"Alvarado, Butler and Baker",South,marketplace
SL10152,Helen Gonzalez,"Valentine, Peterson and Little",West,physical_store
SL10153,Tina Williamson,Ross Inc,South,e-commerce
SL10154,Andrea Lopez,"Stark, Mclaughlin and Henry",East,marketplace
SL10155,Thomas Robertson,"Hernandez, Perry and Jackson",North,marketplace
SL10156,Kyle Potter,"Ross, Le and Gonzales",East,e-commerce
SL10157,Tamara Myers,Sanders Inc,North,marketplace
SL10158,Mandy Pineda,"Elliott, Short and Vega",South,e-commerce
SL10159,Courtney Larsen,Clark Inc,West,e-commerce
SL10160,Stephanie Brown,Jordan Inc,West,marketplace
SL10161,Mariah Allen,"Nelson, Wilson and Brown",West,marketplace
SL10162,Nicole Hudson,Bishop Ltd,North,physical_store
SL10163,Kevin Hunter,Edwards PLC,North,marketplace
SL10164,Marissa Berry,Smith LLC,West,marketplace
SL10165,Miss Lindsey Salas,"Mejia, Wells and Martinez",South,marketplace
SL10166,Ashley Sutton,Saunders-Schmitt,North,e-commerce
SL10167,Rebecca Sloan,Nelson Group,West,e-commerce
SL10168,Teresa Day,"Robinson, Phillips and Carter",North,marketplace
SL10169,Tom Perry,Figueroa PLC,North,physical_store
SL10170,Andrew Reynolds,Johnson-Ruiz,North,marketplace
SL10171,Tamara Price,Hall-Potter,South,physical_store
SL10172,Andrew Weber,Walker LLC,North,physical_store
SL10173,Cody Jordan,Valencia-Rodgers,North,physical_store
SL10174,Manuel Jones,"Mcguire, Todd and Brown",East,e-commerce
SL10175,Beth Murphy DDS,Bryan and Sons,North,physical_store
SL10176,Albert Elliott,Mcgee-Velez,North,e-commerce
SL10177,Ian Torres,Brown Group,South,e-commerce
SL10178,Richard Dixon,"Oneill, Barnes and Rice",East,marketplace
SL10179,Jeffrey Bridges,Matthews-Jones,South,marketplace
SL10180,Michael Estrada,Moore-Andrade,North,physical_store
SL10181,Joseph Davidson,Ramos-Jackson,South,physical_store
SL10182,Arthur Barker,Ortiz-Alvarez,East,e-commerce
SL10183,Amanda Carter,"Murray, Whitney and Bailey",South,e-commerce
SL10184,Brandon Ross,Hernandez LLC,East,physical_store
SL10185,Alexis Frye,Aguilar-Sawyer,East,e-commerce
SL10186,Linda Duncan,"Kennedy, Walker and Sullivan",East,marketplace
SL10187,Dr. Robin Meyer PhD,"Bentley, Potts and Rios",North,physical_store
SL10188,Michael Parker,Graham PLC,West,physical_store
SL10189,Sara Gonzalez,Lewis and Sons,South,physical_store
SL10190,Ashley Hines,Harris-Golden,South,marketplace
SL10191,Julia Gomez,Miller-Evans,North,marketplace
SL10192,Heidi Blackwell,"Cruz, Mcconnell and Nash",West,marketplace
SL10193,Katie Kim,White and Sons,East,marketplace
SL10194,Jennifer Curry,"Perez, Romero and Garza",South,e-commerce
SL10195,Victoria Wallace,"Reid, Byrd and Robinson",West,marketplace
SL10196,Cynthia Eaton,"Patton, Carr and Watkins",East,physical_store
SL10197,John Johnson,Robinson-Sanchez,East,e-commerce
SL10198,Christopher Wells,"Rivera, Sims and Harris",East,marketplace
SL10199,Kevin Oconnell,Diaz PLC,North,physical_store
SL10200,Diana Lee,"Owens, Day and Bell",South,e-commerce
SL10201,Jennifer Stewart,Baker LLC,North,physical_store
SL10202,Alicia Perez,Sherman PLC,East,e-commerce
SL10203,Mary Reed,Garcia-Duncan,South,physical_store
SL10204,Dr. Dawn Brooks MD,"Miller, Pollard and Ortiz",East,marketplace
SL10205,Cynthia Meyers,Lee and Sons,South,marketplace
SL10206,Isaac Lam,Jacobs-Gibson,North,e-commerce
SL10207,James Scott,Winters Ltd,North,e-commerce
SL10208,Morgan Rivas,Hernandez Group,South,physical_store
SL10209,Lynn Spencer,Chavez PLC,West,marketplace
SL10210,Nathan Meza,Haney-Allison,West,marketplace
SL10211,Christopher Mitchell,Ellis-Hull,West,marketplace
SL10212,Michael Cooper,Glover Inc,North,marketplace
SL10213,Joseph Duran,"Smith, Chapman and Stephens",South,marketplace
SL10214,Mary Kelly,Castro Ltd,East,e-commerce
SL10215,Richard Williams,"Salas, Quinn and Young",South,marketplace
SL10216,Glenda Holden,Frank-Evans,West,marketplace
SL10217,Ryan Padilla,"Brennan, Mayer and Lee",West,marketplace
SL10218,Andrea Henry,Everett-Ramos,South,e-commerce
SL10219,Mr. John Barnes,Barnett Group,West,physical_store
SL10220,William Yang,Foster LLC,North,physical_store
SL10221,John Ortiz,"Hawkins, Huerta and Patton",East,physical_store
SL10222,Russell Andrews,"Sullivan, Allen and Padilla",East,marketplace
SL10223,Donald Wilson,Henderson-Lopez,East,marketplace
SL10224,Benjamin Harris,Walsh-Mahoney,East,marketplace
SL10225,Kayla Chavez,Shaffer-Glover,South,marketplace
SL10226,Victoria Wilson,Briggs Ltd,West,marketplace
SL10227,Brian Fleming,Harris Ltd,North,marketplace
SL10228,Bailey Stevenson,"Salinas, Hamilton and Stephens",South,e-commerce
SL10229,Haley Todd,"Whitaker, Huang and Wolfe",South,physical_store
SL10230,Lisa Perry,"Gray, Finley and Rivers",West,e-commerce
SL10231,Lauren Young,Keller Inc,North,e-commerce
SL10232,Danielle Rogers,Ramsey-Sparks,East,marketplace
SL10233,Sarah Griffith,"Lewis, Cannon and Johnson",West,marketplace
SL10234,Alicia Wood,Roberts Inc,East,e-commerce
SL10235,Thomas Robinson,Boone PLC,West,e-commerce
SL10236,Donna Brown,"Graham, Wright and Davis",South,e-commerce
SL10237,William Wagner,"Jimenez, Hernandez and Burke",North,physical_store
SL10238,Joanne Harmon,"Harris, White and Juarez",East,physical_store
SL10239,Michael Fox,"Velazquez, Pittman and Williams",South,marketplace
SL10240,Jerry Ruiz,Young-Gray,West,e-commerce
SL10241,Stephanie Reese,"Simpson, Thomas and Matthews",South,e-commerce
SL10242,Jeffrey Hernandez,Jennings Ltd,North,e-commerce
SL10243,Rebecca Hartman,Warner-Daniel,East,marketplace
SL10244,Kayla Alvarez,Lawrence Ltd,South,e-commerce
SL10245,Savannah Johnson,"Waller, Hill and Krause",South,marketplace
SL10246,Derrick Lara,Santiago and Sons,West,e-commerce
SL10247,Lindsey Williams,Stone-Bishop,North,marketplace
SL10248,Nicholas Chase,"Merritt, Miller and Peters",South,marketplace
SL10249,Melinda Johnson,Williams-Lam,South,e-commerce
SL10250,Jamie Jones,"Miles, Reeves and Miller",West,physical_store
SL10251,Valerie Vincent,Kim and Sons,East,marketplace
SL10252,Ryan Johnson,Finley Inc,East,marketplace
SL10253,Teresa Barber,"Baker, Boyd and Forbes",South,physical_store
SL10254,Dawn Powell,Brooks Inc,South,marketplace
SL10255,Shelley Martin,Carlson Inc,East,physical_store
SL10256,Anne Hicks,"Mccoy, White and Armstrong",North,e-commerce
SL10257,Jonathan Warren,"Johnson, Fletcher and Oconnell",North,physical_store
SL10258,Julie Hines,Riley-Rose,West,physical_store
SL10259,Brian Mcmahon,Meyer-Gibson,West,physical_store
SL10260,Francisco Smith,Browning-Hudson,West,physical_store
SL10261,Bradley Mata,"Mason, Cook and Munoz",East,e-commerce
SL10262,Donald Horn,Garcia Ltd,East,physical_store
SL10263,Brandi Green,"Smith, Nelson and Johnson",West,marketplace
SL10264,Victoria Lambert,Kirk Ltd,South,physical_store
SL10265,Jesus Love,Higgins-Moore,South,e-commerce
SL10266,Raymond Smith,Robinson-Smith,West,e-commerce
SL10267,Cindy Taylor,"Walsh, Scott and White",North,e-commerce
SL10268,Christopher Vega,"Brown, Bates and Logan",North,e-commerce
SL10269,Alex Watkins,"Schaefer, Gilbert and Daugherty",North,e-commerce
SL10270,Kari Carpenter,"Thornton, Ruiz and Henson",East,physical_store
SL10271,Jasmine Arnold,"Harrison, Weiss and Potter",North,e-commerce
SL10272,Luis Campbell,Allen PLC,East,e-commerce
SL10273,Gregory Landry,"Miller, Mendoza and Mosley",North,e-commerce
SL10274,Jason Pope,"Hanna, Williams and Edwards",North,e-commerce
SL10275,Patricia Taylor,Garcia and Sons,West,physical_store
SL10276,Elizabeth Mcdaniel,"Mitchell, Brown and Rocha",South,e-commerce
SL10277,Jamie Wise,Wiley and Sons,South,marketplace
SL10278,Brian Young,Carter-Oliver,North,e-commerce
SL10279,Anthony Wilson,Moreno-Perry,East,physical_store
SL10280,Jeremy Fernandez,Velasquez Inc,East,e-commerce
SL10281,Taylor Thompson,Johnson-Griffin,East,marketplace
SL10282,Dawn Woods,"Jenkins, Rodriguez and Gibson",South,physical_store
SL10283,Eric Olsen,Bell Inc,South,marketplace
SL10284,Kristine Houston,Erickson-Sanchez,West,e-commerce
SL10285,Marco Johnson,Rodriguez-Evans,North,physical_store
SL10286,Joseph Horton,Garcia Ltd,North,e-commerce
SL10287,Michelle Huber,Jones and Sons,East,e-commerce
SL10288,Daniel Silva,Bender-Aguirre,North,physical_store
SL10289,Michael Perez,Fleming-Sanchez,North,e-commerce
SL10290,Oscar Barron,"Murphy, Ross and Wood",South,physical_store
SL10291,Ryan Hall,Porter and Sons,West,e-commerce
SL10292,John Schultz,Rodgers-Jones,East,e-commerce
SL10293,Shawn Howard,"Guerra, Orr and West",West,e-commerce
SL10294,Daniel Rodriguez,"Wilkerson, Dean and Brown",South,e-commerce
SL10295,Sarah Mckay,Barnes-Nunez,East,physical_store
SL10296,Kevin Hayes,"Matthews, Mckinney and Gibson",East,e-commerce
SL10297,Derrick Santiago,"Williams, Parks and Miller",East,marketplace
SL10298,Logan Kelley,"Mason, Maddox and Moody",North,e-commerce
SL10299,Diane Velasquez,"Thompson, Pacheco and Bryant",East,marketplace
SL10300,Allen Bowman,Sims-Cisneros,East,marketplace
SL10301,Shawn Walters,Willis-Cole,East,physical_store
SL10302,Shawna Henderson,"Howell, Hall and Cole",South,physical_store
SL10303,Alisha Oliver,Parker-Jefferson,South,physical_store
SL10304,Amy Fox,Clark-Henderson,North,physical_store
SL10305,Jonathan Gutierrez,Hardy-Ramirez,South,physical_store
SL10306,Kenneth Wilson,"Williams, Lopez and Mccarthy",East,physical_store
SL10307,Christine Herman,Morrison-Green,South,marketplace
SL10308,Patricia Weber,Cook Group,South,e-commerce
SL10309,Matthew Young,Green Ltd,North,marketplace
SL10310,Sherri Ware,Ramirez LLC,North,e-commerce
SL10311,Chelsea King,"Foley, Fisher and Brown",East,e-commerce
SL10312,Jesus Cooper,"Ryan, Mccormick and Lewis",North,physical_store
SL10313,John Coleman,Fisher Inc,West,marketplace
SL10314,Michael Myers,Garcia-Gross,North,physical_store
SL10315,Jeffrey Murray,"Garcia, Nelson and Garcia",North,marketplace
SL10316,Amanda Watkins MD,Guzman-Moore,South,marketplace
SL10317,Kevin Larsen,May PLC,North,physical_store
SL10318,William Harris,Smith-Donovan,North,e-commerce
SL10319,Danny Johnson,Benitez-James,South,marketplace
SL10320,Samantha Wells,Howe-Murphy,East,physical_store
SL10321,Megan Hicks,Kelly LLC,South,marketplace
SL10322,Gary Fritz,Cole-Hudson,South,e-commerce
SL10323,Kim Mathis,"Fritz, Roberts and Palmer",South,e-commerce
SL10324,April Costa,Turner-Chavez,West,e-commerce
SL10325,John Huynh,"Lewis, Brown and Nolan",West,e-commerce
SL10326,Emily Ellis,"Stevens, Huber and Lucero",South,e-commerce
SL10327,Jessica Scott,Allen LLC,East,e-commerce
SL10328,James Holder,"Hartman, Poole and Malone",West,physical_store
SL10329,Angela Ruiz,Garcia-Wu,North,physical_store
SL10330,William Marquez,"Randall, Yang and Solis",East,marketplace
SL10331,Larry Parker,Oconnell and Sons,East,physical_store
SL10332,Luke Thomas,"Duncan, Stone and Hernandez",South,marketplace
SL10333,Eric Carter,Kelley-Davis,West,physical_store
SL10334,Michael Miller,Brown-Burnett,East,e-commerce
SL10335,Timothy Coleman,"Lang, Dunlap and Delgado",East,e-commerce
SL10336,William Ramirez,Perry-Thomas,South,e-commerce
SL10337,Leonard Castro,Jenkins Group,South,physical_store
SL10338,Judith Mccormick,Zavala-Fisher,West,e-commerce
SL10339,Bruce Grant,White-West,South,e-commerce
SL10340,John Espinoza,Berry-Patterson,West,physical_store
SL10341,Justin Gray,"Wilson, Ingram and Kelly",West,marketplace
SL10342,Jeffrey Beltran,"Malone, Walker and Walton",North,physical_store
SL10343,Jason Patterson,"Williams, Boyd and Macias",West,e-commerce
SL10344,Miss Brenda Jordan,"Collins, Young and Lane",East,e-commerce
SL10345,Tonya Glass,"Greene, Snyder and Davis",South,physical_store
SL10346,Leslie Mitchell,"Shannon, Brown and Johnson",West,e-commerce
SL10347,James Webb,Lee LLC,North,physical_store
SL10348,Kyle Meyer,"Short, Williams and Martin",South,e-commerce
SL10349,Jerry Olson,"Johnson, Porter and Parker",East,e-commerce
SL10350,Ryan Cochran,Duke-Mcdonald,North,marketplace
SL10351,Jane Carpenter,Burke Ltd,North,physical_store
SL10352,Nicole White,"Campbell, Leon and Gilbert",South,physical_store
SL10353,Sarah Williamson,Lopez-Taylor,West,e-commerce
SL10354,John Brown,"Deleon, Hayes and Fletcher",North,marketplace
SL10355,Amy Meyers MD,Wong-Stevenson,West,marketplace
SL10356,Morgan Miller,Miller and Sons,East,physical_store
SL10357,Cindy Lewis,"Perez, Kramer and Tucker",South,marketplace
SL10358,Robin Harris,"Gonzales, Silva and Friedman",North,physical_store
SL10359,Angela Bender,Moore-Walker,North,marketplace
SL10360,Mark Santiago,"Haley, Johnson and Kemp",West,marketplace
SL10361,Jill Taylor,Ali-Payne,South,physical_store
SL10362,Mr. Howard Jones,"Cordova, Mcknight and Johnson",South,marketplace
SL10363,Robert Adams,Wright-Simpson,North,physical_store
SL10364,Cheryl Moore,"Lewis, Mccall and Williams",South,e-commerce
SL10365,Anthony Powers,"Crawford, Parker and Harrington",East,e-commerce
SL10366,Paige Johnson,Brown-Wood,South,e-commerce
SL10367,Carl Juarez,"Frederick, Taylor and Ibarra",East,marketplace
SL10368,Shannon Rodriguez,Roman-Brown,West,marketplace
SL10369,Mary Alvarez,Woods Group,South,e-commerce
SL10370,Teresa Lewis,Yates Ltd,West,physical_store
SL10371,Robert Green,"Dixon, Fitzpatrick and Mendez",West,e-commerce
SL10372,Candice Newton,Walker-Nguyen,East,marketplace
SL10373,Danny Keller,Allen Group,East,e-commerce
SL10374,Robert Smith,Williams-Carpenter,North,marketplace
SL10375,Michael Sloan,"Sanders, Dyer and Miller",North,physical_store
SL10376,Lauren Graham,Hernandez Inc,East,marketplace
SL10377,Jennifer Villegas,"Wilkins, Lewis and Gibbs",East,e-commerce
SL10378,Steven Thomas,Turner LLC,South,physical_store
SL10379,Jenna Smith,"Bentley, Mccarthy and Madden",East,physical_store
SL10380,Jeremy Ward,"Gibson, Jones and Fitzpatrick",East,marketplace
SL10381,Victor Owen,"Blair, Lewis and Deleon",East,e-commerce
SL10382,Jennifer Rhodes,Franklin Group,South,marketplace
SL10383,Jill Merritt,Lawson Ltd,West,physical_store
SL10384,David Madden,"Evans, Alexander and Lane",East,e-commerce
SL10385,Angel Booker,Caldwell-Cortez,East,physical_store
SL10386,Ethan Collins,Coleman Group,East,marketplace
SL10387,Anthony Wilson,"Owens, Boyle and Marquez",South,physical_store
SL10388,Stephen Rodriguez,"Nguyen, Tucker and Cherry",North,e-commerce
SL10389,Tanya Hernandez,Flores Ltd,West,e-commerce
SL10390,Michael Smith,"Jackson, Hernandez and Cochran",South,marketplace
SL10391,Jonathan Miranda,Downs Group,East,e-commerce
SL10392,Edward Mason,Vang-Hoover,North,physical_store
SL10393,Christopher Lynch,"Thompson, Olson and Collins",East,marketplace
SL10394,Veronica Blevins,Mason-Dominguez,North,e-commerce
SL10395,Stacy Williams,Rodriguez Group,West,marketplace
SL10396,Matthew Taylor,Gomez-Ward,South,marketplace
SL10397,John White,Gilmore-Edwards,West,physical_store
SL10398,James Burton,Robinson-Ponce,East,marketplace
SL10399,Ryan Byrd,"Schwartz, Park and Foster",East,physical_store
SL10400,Ariana Archer,Moore-Wolfe,West,marketplace
SL10401,Leonard Green,Jackson-Beard,South,physical_store
SL10402,Ronald Wall,Long Ltd,East,physical_store
SL10403,Sergio Phillips,Meyer Ltd,East,e-commerce
SL10404,Wendy Russell,Foster and Sons,South,marketplace
SL10405,Rachel Potter,Morris-Woods,North,marketplace
SL10406,Laurie Hull,Wood Ltd,South,physical_store
SL10407,Karen Davis,Robinson-Stokes,West,physical_store
SL10408,Dawn Velasquez,"Garrison, Mcgee and Jackson",North,e-commerce
SL10409,George Moran,Sweeney-Thompson,North,e-commerce
SL10410,Kevin Russell,Davis PLC,South,marketplace
SL10411,Crystal Perez,Estes-Johnson,West,e-commerce
SL10412,Christopher Thomas,Foster-Rodgers,North,e-commerce
SL10413,David Parks,Esparza LLC,South,marketplace
SL10414,Elizabeth Rodriguez,"Thomas, Villegas and Sandoval",West,e-commerce
SL10415,Kevin Weiss,Hammond PLC,South,marketplace
SL10416,Julie Mills,Nunez-Stewart,South,marketplace
SL10417,Robert Stewart,Hampton-Walton,North,marketplace
SL10418,Mrs. Kimberly Williams,Young Ltd,North,e-commerce
SL10419,Bethany Jones,Smith Ltd,West,e-commerce
SL10420,David Campos,"Williamson, Pittman and Carter",South,physical_store
SL10421,Regina Stone,"Turner, Wright and Evans",East,marketplace
SL10422,Erin Guzman,Greer Ltd,South,e-commerce
SL10423,Susan Wheeler,Lyons Ltd,West,e-commerce
SL10424,John Fischer,"Reynolds, Newton and Murphy",South,marketplace
SL10425,Rachel Thomas,Mason Inc,West,physical_store
SL10426,Ray Delgado,Mann Group,West,marketplace
SL10427,Thomas Green,"Fernandez, Briggs and Sanders",South,physical_store
SL10428,Connor Carpenter,Sanchez Group,East,marketplace
SL10429,Heather Davis,Hall Ltd,East,physical_store
SL10430,Mary Juarez,Cook Group,South,e-commerce
SL10431,John White,Bridges Ltd,West,marketplace
SL10432,Paul Clark,Ballard-Jones,East,physical_store
SL10433,Wendy Williams,Marshall-Wilson,North,e-commerce
SL10434,Thomas Zhang,Clay-Lindsey,South,physical_store
SL10435,Kimberly Henderson,Vaughn-Melendez,South,physical_store
SL10436,Paula Jones,"Watts, Franco and Reilly",East,physical_store
SL10437,John Roman,Baxter-Phillips,North,marketplace
SL10438,Daniel Evans,Wright-Hill,West,physical_store
SL10439,Ashley Dawson,Green Ltd,East,e-commerce
SL10440,Michael Rodriguez,Harmon LLC,North,physical_store
